ticket_id,created_date,issue_category,priority,first_response_minutes,resolution_time_hours,agent_experience_years,reopened,channel,customer_satisfaction
83,2024-11-02,Billing,Urgent,132,60,4.3,No,Phone,Low
84,2024-04-24,Account,High,166,60,3.4,Yes,Phone,Low
85,2024-01-30,Technical,Medium,140,4,5.6,Yes,Chat,Medium
86,2024-06-09,Billing,High,47,26,0.8,No,Phone,Low
87,2024-08-20,Account,Medium,14,3,1.8,No,Email,High
88,2024-05-10,Billing,Urgent,166,46,3.0,Yes,Email,Low
89,2024-05-31,Account,Medium,34,66,7.3,No,Chat,Medium
90,2024-08-07,Billing,Urgent,204,43,6.2,No,Email,Low
91,2024-08-29,Account,Urgent,175,47,5.1,No,Email,Low
92,2024-05-27,Technical,Medium,153,25,5.7,No,Email,Medium
93,2024-03-23,Delivery,Urgent,190,6,7.7,Yes,Chat,Medium
94,2024-10-21,Billing,Urgent,35,50,2.9,Yes,Chat,Low
95,2024-05-05,Technical,Low,145,33,5.1,Yes,Email,Low
96,2024-12-24,Technical,Urgent,108,72,2.3,No,Chat,Low
97,2024-09-03,Technical,Urgent,53,30,7.4,No,Email,Low
98,2024-04-06,Billing,Low,191,67,7.2,Yes,Phone,Low
99,2024-12-19,Other,Urgent,168,70,0.5,Yes,Chat,Low
100,2024-08-28,Technical,High,225,63,8.9,Yes,Chat,Low
101,2024-05-06,Billing,Urgent,123,66,1.5,Yes,Email,Low
102,2024-05-26,Other,Low,74,32,3.1,No,Chat,Low
103,2024-08-18,Billing,Medium,94,17,7.2,Yes,Chat,Low
104,2024-08-24,Billing,Low,46,18,4.4,No,Email,Low
105,2024-08-14,Other,Low,92,35,7.8,Yes,Email,Low
106,2024-10-08,Other,Low,13,57,8.9,No,Chat,High
107,2024-07-01,Billing,High,79,18,4.9,No,Chat,Low
108,2024-05-09,Delivery,High,172,45,7.2,Yes,Chat,Low
109,2024-03-17,Other,Urgent,114,52,2.1,Yes,Phone,Low
110,2024-08-08,Account,Medium,221,1,4.7,No,Email,Medium
111,2024-01-26,Billing,High,235,25,7.0,Yes,Phone,Low
112,2024-01-31,Other,Medium,149,69,9.4,Yes,Chat,Low
113,2024-05-11,Billing,High,240,60,7.7,No,Email,Low
114,2024-08-14,Other,High,221,9,6.6,Yes,Phone,Low
115,2024-01-26,Other,Medium,151,35,5.8,No,Chat,Medium
116,2024-09-08,Account,High,124,8,4.1,No,Phone,Low
117,2024-04-03,Technical,Urgent,5,48,2.9,No,Chat,Medium
118,2024-02-16,Billing,Urgent,87,36,1.5,Yes,Chat,Low
119,2024-01-03,Other,Urgent,65,23,5.7,Yes,Phone,Low
120,2024-10-30,Billing,High,168,21,3.8,Yes,Email,Low
121,2024-08-17,Billing,High,7,44,9.1,Yes,Phone,Medium
122,2024-09-17,Technical,Urgent,150,18,0.7,No,Phone,Low
123,2024-10-22,Account,Low,43,64,6.4,No,Email,Medium
124,2024-09-02,Delivery,Urgent,47,19,4.1,Yes,Chat,Low
125,2024-07-26,Technical,Low,12,22,9.7,No,Phone,High
126,2024-07-03,Other,Urgent,102,31,3.7,Yes,Phone,Low
127,2024-03-08,Technical,Low,227,2,8.1,Yes,Chat,Medium
128,2024-08-19,Account,Medium,195,10,5.1,Yes,Phone,Low
129,2024-12-20,Account,Low,165,28,2.2,Yes,Email,Low
130,2024-07-15,Billing,High,44,67,8.0,No,Email,Low
131,2024-09-10,Delivery,Urgent,24,39,6.8,Yes,Chat,Medium
132,2024-02-10,Account,Low,127,38,0.9,Yes,Phone,Low
133,2024-03-06,Billing,Urgent,14,15,9.5,Yes,Email,Medium
134,2024-01-24,Delivery,Urgent,231,7,1.2,No,Chat,Low
135,2024-01-08,Other,High,136,38,4.2,No,Phone,Low
136,2024-10-03,Account,Low,124,30,5.8,No,Chat,Medium
137,2024-06-08,Account,Low,17,42,6.0,No,Email,High
138,2024-04-23,Account,Medium,93,64,1.4,No,Email,Low
139,2024-02-27,Account,High,238,1,9.7,No,Email,Medium
140,2024-10-01,Billing,Medium,151,4,3.1,No,Phone,Medium
141,2024-11-15,Delivery,High,144,49,9.3,No,Chat,Low
142,2024-06-29,Account,Low,239,17,3.3,Yes,Phone,Low
143,2024-07-14,Other,High,111,13,4.8,Yes,Chat,Low
144,2024-04-27,Delivery,High,68,56,9.6,Yes,Phone,Low
145,2024-07-09,Billing,Medium,45,7,9.6,No,Phone,Medium
146,2024-01-12,Delivery,Medium,194,8,9.6,Yes,Email,Low
147,2024-02-27,Billing,Low,147,56,8.3,No,Phone,Medium
148,2024-07-12,Account,Low,222,26,5.9,Yes,Email,Low
149,2024-05-03,Delivery,High,159,15,3.3,Yes,Email,Low
150,2024-08-09,Billing,Urgent,173,42,7.7,Yes,Chat,Low
151,2024-03-13,Other,Medium,116,33,1.9,No,Phone,Low
152,2024-09-08,Delivery,High,175,66,5.8,Yes,Phone,Low
153,2024-03-14,Other,Low,71,7,2.0,Yes,Phone,Low
154,2024-12-21,Delivery,Medium,75,29,1.6,Yes,Chat,Low
155,2024-06-05,Billing,Low,201,13,9.2,No,Email,Medium
156,2024-01-11,Other,Urgent,85,37,4.7,No,Email,Low
157,2024-11-07,Account,Medium,175,27,1.2,Yes,Chat,Low
158,2024-12-12,Other,High,139,45,6.7,Yes,Email,Low
159,2024-12-11,Delivery,Medium,106,33,5.1,No,Chat,Medium
160,2024-10-02,Delivery,Urgent,87,72,8.4,No,Email,Low
161,2024-08-17,Technical,Low,198,63,4.9,Yes,Email,Low
162,2024-10-04,Technical,Urgent,156,22,1.2,Yes,Phone,Low
163,2024-12-30,Billing,Medium,160,48,6.3,Yes,Phone,Low
164,2024-11-24,Billing,Urgent,66,19,7.2,No,Phone,Low
165,2024-03-09,Other,Medium,131,13,1.0,Yes,Email,Low
166,2024-02-07,Billing,Low,123,6,1.6,Yes,Email,Medium
167,2024-02-24,Technical,Urgent,218,57,1.2,Yes,Email,Low
168,2024-09-13,Other,High,47,68,3.1,Yes,Email,Low
169,2024-10-25,Other,Urgent,56,69,4.7,No,Phone,Low
170,2024-01-02,Account,High,173,58,7.8,No,Phone,Low
171,2024-02-09,Account,High,31,53,4.4,No,Email,Low
172,2024-04-04,Technical,High,41,15,1.1,No,Email,Low
173,2024-09-22,Billing,High,218,33,7.8,No,Phone,Low
174,2024-05-07,Billing,High,190,44,8.3,No,Phone,Low
175,2024-01-10,Technical,High,226,30,8.6,Yes,Email,Low
176,2024-02-27,Account,Medium,7,16,3.0,No,Email,Medium
177,2024-08-05,Delivery,Urgent,180,42,1.5,No,Phone,Low
178,2024-08-10,Other,Low,191,46,3.7,Yes,Phone,Low
179,2024-07-17,Billing,Low,159,56,1.6,Yes,Chat,Low
180,2024-11-05,Other,Low,40,35,3.8,No,Email,Low
181,2024-07-13,Billing,Low,115,55,8.9,Yes,Phone,Low
182,2024-06-20,Technical,Urgent,35,16,4.9,No,Phone,Low
183,2024-08-11,Account,Low,9,68,7.1,No,Email,High
184,2024-10-19,Account,Medium,105,39,9.7,Yes,Phone,Low
185,2024-03-19,Other,Urgent,144,48,5.0,No,Phone,Low
186,2024-02-07,Technical,High,49,27,5.3,Yes,Email,Low
187,2024-03-03,Account,Urgent,89,42,7.7,No,Phone,Low
188,2024-09-24,Other,Medium,188,13,7.0,Yes,Chat,Low
189,2024-08-22,Billing,Low,98,40,5.9,Yes,Phone,Low
190,2024-02-03,Billing,High,190,34,4.9,No,Phone,Low
191,2024-07-09,Other,High,130,57,3.9,Yes,Email,Low
192,2024-10-15,Billing,Low,213,28,9.8,Yes,Email,Low
193,2024-08-23,Delivery,Medium,239,44,5.2,Yes,Email,Low
194,2024-04-26,Delivery,Low,197,36,9.3,Yes,Chat,Low
195,2024-06-24,Delivery,Medium,138,5,7.1,Yes,Phone,Medium
196,2024-02-15,Billing,Urgent,170,70,5.0,Yes,Email,Low
197,2024-07-29,Account,Medium,220,1,8.6,Yes,Phone,Medium
198,2024-10-20,Billing,High,179,59,9.2,No,Phone,Low
199,2024-08-19,Delivery,Medium,86,62,9.9,No,Chat,Medium
200,2024-03-12,Technical,Urgent,65,60,7.0,Yes,Email,Low
201,2024-11-14,Billing,High,67,6,0.6,Yes,Phone,Low
202,2024-11-05,Delivery,Urgent,32,58,2.1,Yes,Email,Low
203,2024-05-05,Delivery,Low,19,70,7.9,Yes,Chat,Medium
204,2024-12-19,Delivery,Low,193,70,4.5,Yes,Chat,Low
205,2024-10-29,Other,High,123,66,8.8,No,Chat,Low
206,2024-10-06,Billing,Urgent,222,43,3.7,No,Email,Low
207,2024-02-09,Account,Medium,215,38,9.3,Yes,Chat,Low
208,2024-07-13,Other,Low,116,18,9.0,No,Phone,Medium
209,2024-10-05,Billing,Low,111,63,9.4,Yes,Phone,Low
210,2024-07-21,Account,Medium,65,54,6.9,No,Email,Medium
211,2024-07-19,Billing,Urgent,83,58,4.4,Yes,Chat,Low
212,2024-10-07,Billing,Low,209,12,0.7,No,Email,Low
213,2024-03-15,Account,Urgent,10,50,5.4,No,Chat,Medium
214,2024-07-07,Delivery,Low,128,4,6.7,No,Phone,High
215,2024-08-15,Technical,Urgent,121,6,2.8,Yes,Phone,Low
216,2024-06-06,Delivery,Medium,125,58,2.2,No,Chat,Low
217,2024-08-02,Account,Urgent,84,22,8.4,Yes,Email,Low
218,2024-06-25,Technical,High,111,15,4.7,Yes,Phone,Low
219,2024-12-14,Account,Low,148,71,4.8,Yes,Email,Low
220,2024-04-08,Account,High,37,72,8.2,Yes,Chat,Low
221,2024-07-19,Billing,Urgent,57,39,0.9,Yes,Phone,Low
222,2024-02-17,Other,Low,52,43,3.1,Yes,Email,Low
223,2024-02-12,Billing,Urgent,106,4,0.9,Yes,Chat,Low
224,2024-05-17,Delivery,High,125,69,5.9,Yes,Chat,Low
225,2024-12-21,Other,Low,206,69,5.6,Yes,Email,Low
226,2024-02-25,Delivery,Medium,150,17,9.8,No,Chat,Medium
227,2024-07-06,Account,High,28,49,6.4,Yes,Phone,Medium
228,2024-09-15,Delivery,Low,67,16,9.4,No,Email,Medium
229,2024-08-07,Other,Urgent,184,31,6.9,Yes,Chat,Low
230,2024-08-22,Billing,Medium,103,66,2.3,No,Phone,Low
231,2024-05-17,Billing,Urgent,149,60,6.0,No,Phone,Low
232,2024-09-03,Delivery,High,196,49,4.6,No,Phone,Low
233,2024-12-13,Technical,Urgent,11,32,3.1,Yes,Chat,Low
234,2024-06-24,Account,Low,109,67,8.1,No,Chat,Medium
235,2024-05-29,Other,Low,84,15,4.3,Yes,Email,Low
236,2024-05-16,Other,Urgent,56,45,2.1,Yes,Email,Low
237,2024-11-25,Account,Medium,207,59,3.5,No,Chat,Low
238,2024-06-14,Account,Low,7,42,3.1,No,Chat,Medium
239,2024-06-07,Account,Low,107,46,4.9,Yes,Chat,Low
240,2024-09-23,Billing,Low,200,38,3.4,No,Chat,Low
241,2024-07-03,Billing,High,198,50,8.3,No,Email,Low
242,2024-03-23,Technical,Urgent,182,58,5.6,Yes,Phone,Low
243,2024-08-12,Technical,Medium,125,19,6.1,No,Chat,Medium
244,2024-04-11,Account,Low,26,72,9.2,No,Phone,High
245,2024-07-29,Delivery,Urgent,125,12,9.6,Yes,Chat,Low
246,2024-02-23,Other,High,52,47,7.8,No,Email,Low
247,2024-07-01,Technical,Urgent,235,38,3.4,Yes,Email,Low
248,2024-09-17,Other,Urgent,17,57,5.3,Yes,Email,Medium
249,2024-03-30,Delivery,High,80,4,4.2,No,Chat,Medium
250,2024-11-22,Other,High,37,38,1.1,Yes,Chat,Low
251,2024-01-23,Billing,Medium,190,35,9.1,No,Chat,Medium
252,2024-04-05,Other,High,205,54,7.8,No,Email,Low
253,2024-12-23,Delivery,High,88,30,6.2,No,Email,Low
254,2024-01-09,Delivery,Medium,93,37,5.2,No,Chat,Medium
255,2024-10-25,Delivery,Urgent,206,44,7.9,Yes,Chat,Low
256,2024-06-15,Other,Medium,187,7,2.3,Yes,Chat,Low
257,2024-02-08,Billing,Urgent,231,47,4.7,Yes,Phone,Low
258,2024-03-30,Technical,High,216,25,6.7,Yes,Phone,Low
259,2024-02-23,Delivery,High,113,38,4.4,No,Email,Low
260,2024-05-14,Account,High,30,46,7.2,No,Phone,Medium
261,2024-05-07,Billing,Medium,238,2,4.6,Yes,Chat,Medium
262,2024-12-23,Delivery,Urgent,201,55,0.7,No,Phone,Low
263,2024-04-18,Delivery,High,140,72,5.4,No,Phone,Low
264,2024-03-18,Delivery,Low,23,27,0.8,Yes,Phone,Medium
265,2024-03-29,Other,Low,28,37,4.9,No,Email,Medium
266,2024-09-24,Account,Medium,6,29,2.7,No,Phone,Medium
267,2024-02-29,Account,Low,183,9,8.0,Yes,Email,Low
268,2024-11-19,Billing,Medium,186,59,7.8,Yes,Email,Low
269,2024-02-06,Other,High,200,41,5.5,Yes,Chat,Low
270,2024-09-23,Delivery,Urgent,123,29,3.2,No,Email,Low
271,2024-12-04,Account,Medium,71,6,0.8,Yes,Chat,Medium
272,2024-03-16,Technical,Urgent,233,25,5.8,No,Chat,Low
273,2024-07-22,Billing,Urgent,156,9,5.2,No,Email,Low
274,2024-08-25,Account,Urgent,192,24,5.2,No,Email,Low
275,2024-09-30,Billing,High,97,70,7.4,No,Phone,Low
276,2024-04-20,Other,Medium,62,64,6.4,No,Chat,Medium
277,2024-05-07,Technical,Medium,28,54,2.7,Yes,Chat,Medium
278,2024-03-30,Technical,Urgent,64,7,5.3,No,Email,Low
279,2024-02-27,Technical,Urgent,56,23,9.1,No,Phone,Low
280,2024-01-27,Other,High,162,46,5.3,Yes,Email,Low
281,2024-07-19,Delivery,Medium,192,18,5.3,Yes,Chat,Low
282,2024-01-25,Billing,High,40,64,3.9,No,Phone,Low
283,2024-07-13,Delivery,Medium,35,6,5.8,Yes,Chat,Medium
284,2024-08-12,Billing,Urgent,9,16,8.6,Yes,Email,Medium
285,2024-01-30,Delivery,Low,184,35,9.4,Yes,Chat,Low
286,2024-09-06,Other,Medium,56,26,0.6,Yes,Phone,Low
287,2024-01-05,Billing,High,75,9,2.7,Yes,Phone,Low
288,2024-02-11,Technical,Urgent,132,49,3.6,Yes,Email,Low
289,2024-10-19,Billing,Urgent,235,67,7.3,No,Chat,Low
290,2024-04-19,Other,Urgent,116,57,2.3,Yes,Phone,Low
291,2024-06-22,Other,Medium,215,14,8.2,No,Phone,Medium
292,2024-12-17,Account,High,23,1,4.4,No,Phone,High
293,2024-06-04,Other,Medium,147,7,8.5,Yes,Chat,Low
294,2024-01-31,Other,Urgent,230,16,4.6,No,Email,Low
295,2024-06-08,Technical,High,106,22,0.6,Yes,Chat,Low
296,2024-06-09,Account,Low,188,46,1.2,No,Phone,Low
297,2024-08-21,Delivery,Medium,229,13,9.6,No,Phone,Medium
298,2024-12-23,Account,Medium,106,36,8.8,No,Chat,Medium
299,2024-02-28,Technical,Medium,169,37,3.5,Yes,Phone,Low
300,2024-02-10,Delivery,Medium,214,23,2.7,Yes,Chat,Low
301,2024-08-18,Other,Urgent,188,40,5.2,No,Email,Low
302,2024-11-24,Account,High,40,4,4.7,No,Phone,Medium
303,2024-12-20,Other,Urgent,79,19,3.1,Yes,Email,Low
304,2024-02-22,Account,Medium,76,6,4.3,Yes,Email,Medium
305,2024-11-05,Technical,Medium,216,72,3.8,No,Chat,Low
306,2024-08-22,Technical,High,235,32,9.5,No,Phone,Low
307,2024-11-10,Delivery,High,92,35,2.2,Yes,Chat,Low
308,2024-02-27,Other,Low,97,20,3.1,Yes,Phone,Low
309,2024-07-05,Other,Urgent,148,63,3.1,No,Email,Low
310,2024-02-06,Account,Urgent,22,3,9.1,No,Phone,High
311,2024-04-03,Delivery,High,225,14,2.3,Yes,Email,Low
312,2024-05-03,Account,High,49,42,7.9,Yes,Chat,Low
313,2024-10-03,Billing,High,66,68,6.5,No,Chat,Low
314,2024-02-23,Billing,Low,98,2,5.3,No,Phone,High
315,2024-10-07,Technical,High,109,31,8.8,No,Email,Low
316,2024-08-21,Billing,High,200,55,8.2,No,Phone,Low
317,2024-09-08,Other,Medium,128,52,5.0,Yes,Email,Low
318,2024-11-25,Other,Urgent,6,20,2.0,No,Chat,Medium
319,2024-08-05,Billing,Low,181,70,9.2,No,Email,Medium
320,2024-01-29,Billing,Low,61,43,4.5,Yes,Email,Low
321,2024-06-15,Other,Low,216,53,3.8,Yes,Chat,Low
322,2024-07-21,Delivery,High,98,15,8.8,No,Phone,Low
323,2024-02-27,Account,Urgent,182,21,7.6,Yes,Phone,Low
324,2024-07-24,Technical,Urgent,225,30,1.7,No,Email,Low
325,2024-05-03,Other,Low,140,24,3.4,Yes,Phone,Low
326,2024-08-28,Billing,Medium,215,62,5.7,No,Chat,Medium
327,2024-05-18,Other,Urgent,54,1,3.2,Yes,Chat,Low
328,2024-02-11,Technical,High,132,29,9.0,Yes,Phone,Low
329,2024-01-01,Billing,Medium,153,62,2.1,Yes,Phone,Low
330,2024-09-27,Other,Urgent,219,36,1.4,Yes,Phone,Low
331,2024-10-05,Other,High,209,26,2.0,Yes,Phone,Low
332,2024-07-18,Account,Urgent,199,64,5.1,Yes,Phone,Low
333,2024-03-16,Technical,Low,39,33,2.8,No,Email,Low
334,2024-07-29,Billing,Low,105,52,6.1,Yes,Phone,Low
335,2024-07-22,Other,Urgent,8,48,4.5,Yes,Email,Low
336,2024-10-12,Billing,High,67,6,2.7,Yes,Chat,Low
337,2024-06-14,Technical,Medium,133,27,3.6,No,Chat,Low
338,2024-05-15,Account,Low,204,15,4.7,No,Phone,Low
339,2024-03-16,Account,Medium,116,44,1.1,Yes,Phone,Low
340,2024-01-29,Technical,Medium,133,46,1.9,Yes,Chat,Low
341,2024-01-20,Billing,Low,226,16,5.1,No,Phone,Medium
342,2024-03-26,Technical,Urgent,111,22,1.8,Yes,Email,Low
343,2024-11-18,Account,High,230,15,7.7,No,Chat,Low
344,2024-11-20,Billing,High,204,17,7.3,No,Chat,Low
345,2024-11-20,Technical,High,63,55,6.4,Yes,Phone,Low
346,2024-03-05,Delivery,High,84,17,4.6,Yes,Email,Low
347,2024-10-28,Delivery,Low,11,6,6.7,No,Chat,High
348,2024-01-12,Account,High,98,42,7.2,No,Chat,Low
349,2024-11-02,Billing,Urgent,112,26,5.1,Yes,Email,Low
350,2024-02-07,Other,High,203,29,9.1,Yes,Phone,Low
351,2024-01-03,Technical,Urgent,87,44,9.2,No,Phone,Low
352,2024-07-07,Billing,Low,173,56,1.8,Yes,Phone,Low
353,2024-04-23,Billing,Medium,176,25,9.9,Yes,Email,Low
354,2024-12-27,Delivery,Urgent,160,5,6.3,No,Chat,Medium
355,2024-09-29,Other,Urgent,77,64,0.9,Yes,Email,Low
356,2024-02-20,Other,Medium,79,4,0.6,No,Email,Medium
357,2024-01-17,Delivery,Low,199,27,1.4,Yes,Phone,Low
358,2024-06-01,Delivery,High,81,68,5.1,No,Chat,Low
359,2024-05-12,Other,Medium,52,11,7.8,No,Chat,Medium
360,2024-04-28,Other,Low,30,58,5.8,Yes,Chat,Medium
361,2024-12-10,Billing,Low,57,41,6.9,Yes,Chat,Low
362,2024-05-23,Technical,Medium,141,46,2.5,No,Phone,Low
363,2024-03-15,Other,Medium,190,22,1.8,No,Phone,Low
364,2024-12-18,Delivery,Low,71,57,7.6,Yes,Phone,Low
365,2024-08-27,Technical,Low,39,66,1.0,No,Chat,Low
366,2024-06-02,Account,Urgent,31,56,1.3,No,Chat,Low
367,2024-04-04,Delivery,Urgent,137,54,5.2,No,Phone,Low
368,2024-09-05,Account,Medium,177,54,7.3,No,Chat,Medium
369,2024-01-10,Delivery,Medium,115,47,5.4,No,Chat,Medium
370,2024-08-08,Account,Medium,192,44,2.6,Yes,Chat,Low
371,2024-06-16,Other,High,47,64,2.5,No,Email,Low
372,2024-08-10,Billing,Low,219,28,8.1,Yes,Chat,Low
373,2024-03-27,Technical,Medium,223,27,5.5,No,Email,Medium
374,2024-07-07,Other,Medium,10,22,5.9,Yes,Email,Medium
375,2024-05-27,Other,High,125,60,5.7,No,Chat,Low
376,2024-10-23,Other,Low,67,33,4.7,Yes,Phone,Low
377,2024-06-26,Billing,Low,109,19,9.0,No,Phone,Medium
378,2024-06-21,Account,High,227,24,8.5,Yes,Email,Low
379,2024-03-05,Other,Medium,146,54,3.0,No,Email,Low
380,2024-01-19,Delivery,High,166,11,1.3,No,Chat,Low
381,2024-07-27,Other,High,126,25,4.8,No,Phone,Low
382,2024-04-29,Delivery,Urgent,53,25,8.5,Yes,Email,Low
383,2024-06-20,Billing,Urgent,112,27,5.0,Yes,Chat,Low
384,2024-12-04,Other,High,28,1,10.0,Yes,Chat,High
385,2024-10-09,Technical,Low,228,6,7.9,Yes,Email,Medium
386,2024-08-20,Other,Urgent,90,47,4.2,Yes,Phone,Low
387,2024-06-17,Delivery,Medium,10,25,0.9,Yes,Chat,Medium
388,2024-05-30,Account,Medium,128,50,0.6,Yes,Email,Low
389,2024-09-02,Account,Medium,107,71,7.7,Yes,Email,Low
390,2024-02-12,Technical,Urgent,83,42,3.0,No,Chat,Low
391,2024-09-19,Account,High,112,38,4.5,No,Phone,Low
392,2024-07-20,Technical,Urgent,107,7,3.5,No,Email,Low
393,2024-11-09,Other,Medium,28,17,6.4,Yes,Phone,Medium
394,2024-05-19,Account,Urgent,28,1,2.1,No,Email,High
395,2024-08-15,Technical,Medium,197,47,6.1,No,Phone,Medium
396,2024-02-29,Delivery,Low,104,10,4.6,Yes,Email,Low
397,2024-05-20,Technical,Low,150,42,4.6,Yes,Email,Low
398,2024-12-29,Billing,Low,14,56,7.7,No,Phone,High
399,2024-04-16,Billing,Low,8,30,2.2,No,Phone,Medium
400,2024-06-11,Billing,Medium,31,17,1.0,No,Email,Low
401,2024-10-29,Account,Medium,157,49,3.6,Yes,Phone,Low
402,2024-03-06,Delivery,Low,157,4,9.7,No,Email,High
403,2024-12-06,Technical,High,48,21,5.8,Yes,Email,Low
404,2024-08-17,Other,High,234,43,2.5,No,Chat,Low
405,2024-03-19,Technical,Medium,173,42,1.0,Yes,Chat,Low
